address,zipcode,lattitude,longitude
3150 S Western Ave,60608,41.83703,-87.684865
Damen Ave & Bloomingdale Ave,60606,41.914254,-87.677521
1521 S Linn White Dr,60605,41.860664,-87.610261
6743 S Kedzie Ave,60629,41.77132,-87.702908
4430 S Marshfield Ave,60609,41.813094,-87.6663
5427 W Division St,60651,41.902208,-87.761667
8052 S Damen Ave,60620,41.747193,-87.673082
8052 S Damen Ave,60620,41.747193,-87.673082
1805 N Albany Ave,60647,41.913836,-87.705141
4901 W Wabansia Ave,60639,41.911427,-87.749226
6056 N Landers Ave,60646,41.992218,-87.752125
9801 S Ave G,60617,41.718303,-87.531025
1344 N Dean St,60622,41.906864,-87.670368
1344 N Dean,60622,41.906864,-87.670368
301-405 123rd Street,60628,41.670645,-87.630637
865 SPark Terrace,60605,41.867824,-87.623449
1126 E 80th St,60619,41.749484,-87.596634
6401 S Stony Island Ave,60637,41.778764,-87.586422
5491 S Shore Drive,60615,41.795512,-87.580879
4101 N Lavergne Ave,60641,41.955198,-87.752268
100-162 East Harrison Street,60605,41.874459,-87.624694
141 W Diversey Parkway,60614,41.933364,-87.635128
2601 N Cannon Drive,60614,41.929954,-87.636256
2601 N Cannon Dr,60614,41.929954,-87.636256
8701 S Dauphin Ave,60619,41.7367,-87.6012
7521 S Dobson Ave,60619,41.757841,-87.599303
2732 WPolk St,60612,41.871087,-87.694368
1833 E 71st,60649,41.765192,-87.580897
1833 E 71st,60649,41.765192,-87.580897
1230 W School St,60657,41.941632,-87.660299
3620 S Lituanica Ave,60609,41.828268,-87.647671
3402 W 77th St,60652,41.753372,-87.707471
1041 W Columbia Ave,60626,42.00464,-87.65815
2021 N Burling St,60614,41.919044,-87.647303
9336 S Kingston Ave,60617,41.725316,-87.562028
1401 S Sacramento Dr,60623,41.862686,-87.701891
1401 S Sacramento Ave,60623,41.851615,-87.700348
1401 S Sacramento,60623,38.11497,-121.30728
1401 South Sacramento Drive,60623,41.862686,-87.701891
1400 S California Ave,60623,41.862606,-87.695794
1788 South California Avenue,60608,41.858308,-87.695652
1850 S Albany Ave,60623,41.85602,-87.702832
1470 S Albany Ave,60623,41.861673,-87.703003
1820 S Farrar Dr,60623,41.856766,-87.696458
1401 S Sacramento Dr,60623,41.862686,-87.701891
2045 N Lincoln Park West,60614,41.919658,-87.636379
1200 W 77th St,60620,41.754139,-87.653843
2710 S Dearborn,60616,41.843511,-87.628454
2710 S Dearborn C,60616,41.843511,-87.628454
6931 S Damen Ave,60636,41.767481,-87.673598
7442 N Ashland Ave,60626,42.017622,-87.670399
300 E 31st St,60616,41.838421,-87.618745
220 E 29th St,60616,41.841987,-87.621085
220 E 31st St,60616,41.838396,-87.620969
4638 N Melvina Ave,60630,41.965863,-87.781985
4638 N Melvina Ave,60630,41.965863,-87.781985
1359 South Indiana Avenue,60605,41.864285,-87.622384
8445 S Kolin Ave,60652,41.739289,-87.730091
421 W Locust St,60610,41.898931,-87.639013
111 N Lake Shore Drive,60601,41.891508,-87.613836
401 N Lake Shore Drive,60611,41.891113,-87.613814
740 E 56th Pl,60637,41.791646,-87.638971
401 N Lake Shore Dr,60611,41.891113,-87.613814
1119 W Cullerton St,60608,41.855228,-87.65395
1119 West Cullerton Street,60608,41.855228,-87.65395
2101 S May St,60608,41.853183,-87.654725
1119 W Cullerton St,60608,41.855228,-87.65395
555 E 51st St,60615,41.802148,-87.612113
2045 N Lincoln Park West,60614,41.919658,-87.636379
1001 W Wrightwood Ave,60614,41.929029,-87.653839
331 W 45th St,60609,41.812507,-87.634581
2400 E 82nd St,60617,41.746274,-87.565858
2400 East 82nd Street,60617,41.746274,-87.565858
1330 W Chicago Ave,60642,41.896208,-87.660751
1330 W Chicago Ave,60642,41.896208,-87.660751
6525 N Hiawatha Ave,60646,41.999284,-87.761796
4921 N Marine Drive,60640,41.962149,-87.646887
6755 N Northwest Hwy,60631,42.003833,-87.817838
711 W 60th Pl,60621,41.784229,-87.643012
2230 W Cortland St,60647,41.91611,-87.683588
2230 W Cortland St,60647,41.91611,-87.683588
2045 N Lincoln Park West,60614,41.919658,-87.636379
3520 S Cottage Grove Ave,60653,41.830713,-87.610379
3520 S Cottage Grove Avenue,60653,41.830713,-87.610379
707 E 37th St,60653,41.827815,-87.608547
3520 S Cottage Grove,60653,41.819261,-87.611244
535 E 35th St,60653,41.831156,-87.61277
5215 S Woodlawn Ave,60615,41.80037,-87.596638
3451 N Troy St,60618,41.944402,-87.706517
2021 N Burling St,60614,41.919044,-87.647303
5600 S Emerald Ave,60621,41.792258,-87.643874
Rainey Drive,60637,41.780991,-87.604053
201 East 111th Street,60628,41.692674,-87.616431
1824 S Wood St,60608,41.856825,-87.671063
1820 W Granville Ave,60660,41.994338,-87.676586
2045 N Lincoln Park West,60614,41.919658,-87.636379
Lakefront Trail,60613,41.953742,-87.661343
6201 South Stewart Ave,60621,41.782048,-87.635103
7687 S Chicago Ave,60619,41.744737,-87.60569
201 E 111th St,60628,41.692674,-87.616431
9800 S Parnell Ave,60628,41.716059,-87.637005
9800 S Parnell Ave,60628,41.716059,-87.637005
5100 N Ridgeway Ave,60625,41.973843,-87.722074
1701 N LaSalle St,60614,41.912623,-87.633097
631 W Belmont Ave,60657,41.940059,-87.645695
631 W Belmont Ave,60657,41.940059,-87.645695
1801 North Ridgeway Avenue,60647,41.914358,-87.720345
1809 W 50th St,60609,41.803113,-87.670689
2430 North Cannon Drive,60614,41.926984,-87.634285
1300 W Fargo Ave,60626,42.017217,-87.66344
337 E Randolph St,60601,41.884351,-87.620142
5001 S Cottage Grove Ave,60615,41.80412,-87.606447
2000 W Belmont Ave,60618,41.939585,-87.678926
10436 S Wallace St,60628,41.704167,-87.637884
9501 S Eggleston Ave,60628,41.721516,-87.633968
10436 S Wallace St,60628,41.704167,-87.637884
5100 N Ridgeway Ave,60625,41.973843,-87.722074
1822 W Larchmont Ave,60613,41.953278,-87.675041
6401 S Stony Island Ave,60637,41.778764,-87.586422
400-452 South Central Avenue,60644,41.874722,-87.76465
429 N Columbus Dr,60611,41.889873,-87.620234
2554 W Moffat St,60647,41.914811,-87.691807
6600 S Woodlawn Ave,60637,41.774934,-87.5961
2045 N Lincoln Park West,60614,41.919658,-87.636379
11555 S Stony Island Ave,60617,41.685498,-87.57647
5069 W Berwyn Ave,60630,41.977851,-87.754504
5069 W Berwyn Ave,60630,41.977851,-87.754504
1312 S Racine Ave,60608,41.864757,-87.65661
1313 S Throop St,60608,41.864712,-87.65882
1440 W 84th St,60620,41.741362,-87.659652
5200 N Lake Shore Dr,60611,41.903868,-87.624958
Foster & Lakeshore drive,60640,45.41572,-96.66933
1440 W 84th St,60620,41.741362,-87.659652
2045 N Lincoln Park West,60614,41.919658,-87.636379
4320 W 15th St,60623,41.860599,-87.73303
4320 W 15th Street,60624,41.860599,-87.73303
6566 N Avondale Ave,60631,41.999676,-87.814855
331 W 45th St,60609,41.812507,-87.634581
2411 W 55th St,60629,41.793908,-87.684334
2411 W 55th St,60609,41.793909,-87.683583
5729 W Bloomingdale Ave,60639,41.912565,-87.769515
2045 N Lincoln Park West,60614,41.919658,-87.636379
100 N Central Park Ave,60624,41.881566,-87.715877
300 N Central Park Ave,60624,41.886291,-87.716588
100 North Central Park Avenue,60624,41.881566,-87.715877
Garfield Park Fieldhouse,60624,41.87503,-87.70785
100 N Central Park,60624,41.881566,-87.715877
300 N Central Ave,60624,41.885902,-87.765026
100 N Central Park Ave,60624,41.881566,-87.715877
3430 W Madison St,60624,41.880928,-87.711764
160 N Homan Ave,60624,41.884549,-87.71113
1520 W Polk St,60607,41.871656,-87.664625
810 E 103rd St,60628,41.707498,-87.602881
744 E 103rd St,60628,41.707461,-87.605169
10201 South Cottage Grove Avenue,60628,41.707436,-87.60652
2045 N Lincoln Park West,60614,41.919658,-87.636379
5531 S Martin Luther King Dr,60637,41.792123,-87.615874
825 W Sheridan Rd,60613,41.952738,-87.650667
1448 S Trumbull Ave,60623,41.861663,-87.711641
1448 S Trumbull,60623,41.861663,-87.711641
9247 S Eggleston Ave,60620,41.72567,-87.634854
5421 N Menard Ave,60630,41.979015,-87.773258
3301 W Gladys Ave,60624,41.876243,-87.708447
2045 N Lincoln Park West,60614,41.919658,-87.636379
7043 N Glenwood Ave,60626,42.009706,-87.665819
13000 S Eberhart Ave,60627,41.692102,-87.61109
446 East 111th Place,60628,41.691886,-87.611299
13000 S Eberhart,60627,41.692102,-87.61109
4222 W Foster Ave,60630,41.975421,-87.73445
4222 W Foster Ave,60630,41.975421,-87.73445
4648 N Malden St,60640,41.966766,-87.662599
2045 N Lincoln Park West,60614,41.919658,-87.636379
1249 N Astor St,60610,41.905377,-87.627208
2741 W Montrose Ave,60618,41.961286,-87.697294
610-30 W Adams St,60661,41.879284,-87.642727
7655 S Ingleside Ave,60619,41.755786,-87.60167
7655 S Ingleside Ave,60619,41.755786,-87.60167
3529 W Grand Ave,60651,41.901547,-87.714683
3531 W Grand Ave,60651,41.901583,-87.714772
Stockton Dr & Webster Ave,60614,41.921998,-87.635694
5445 N Chester St,60656,41.974566,-87.817934
Columbus Drive,60601,41.885649,-87.620759
951 S Columbus Drive,60601,41.870358,-87.620531
1400 S Lake Shore Drive,60601,41.865091,-87.619006
1400 S Lake Shore Drive,60601,41.865091,-87.619006
Michigan & Jackson,60601,40.12005,-74.2518
Monroe & Lakeshore drive,60601,32.53658,-92.03462
Monroe & Columbus Drive,60601,41.885649,-87.620759
500 S Lake Shore Dr,60601,41.875919,-87.617113
601 S Michigan Ave,60601,41.87452,-87.62415
2850 W Avondale Ave,60618,41.936512,-87.704113
3000 North Avondale Avenue,60618,41.936823,-87.704701
1518 W 102nd Pl,60643,41.707271,-87.660397
1518 W 102nd Pl,60643,41.707271,-87.660397
6500 N Algonquin Ave,60646,41.999647,-87.766019
2650 W Peterson Ave,60659,41.990486,-87.696173
4300 W Wabansia Ave,60639,41.911605,-87.734207
4300 W Wabansia Ave,60639,41.911605,-87.734207
1208 W Jarvis Ave,60626,42.01614,-87.663509
2708 W Lawrence Ave,60625,41.968582,-87.696668
1520 W Polk St,60607,41.871656,-87.664625
1425 N Damen Ave,60622,41.907977,-87.677399
4532 S Greenwood Ave,60653,41.812286,-87.599333
2402 N Washtenaw Ave,60647,41.924954,-87.694974
2402 N Washtenaw,60647,41.924954,-87.694974
2402 N Washtenaw Ave,60647,41.924954,-87.694974
337 E Randolph St,60602,41.884284,-87.622394
247 W 23rd Pl,60616,41.850037,-87.633813
6258 W 62nd St,60638,41.779615,-87.777845
513 W 72nd St,60621,41.763495,-87.637669
513 W 72nd St,60621,41.763495,-87.637669
513 W 72ND ST Chicago,60621,41.763495,-87.637669
3035 N Hoyne Ave,60618,41.93713,-87.680689
3035 N Hoyne Ave,60618,41.93713,-87.680689
2045 N Lincoln Park West,60614,41.919658,-87.636379
5635 S Indiana Ave,60637,41.792314,-87.620775
3917 W Division St,60651,41.902715,-87.724356
4912 S Calumet Ave,60615,41.805526,-87.618049
