property_type,address,zip,price,beds,baths,location,sq_feet,latitude,longitude
Condo/Co-op,180 E Pearson St #4102,60611,1050000.0,2.0,2.0,Near North Side,1775.0,41.8978657,-87.6223555
Condo/Co-op,55 E Erie St Unit Sh-C,60611,2000000.0,5.0,4.5,Near North Side,4344.0,41.8937613,-87.6261578
Condo/Co-op,1000 N Lake Shore Dr #1903,60611,190000.0,1.0,1.0,Near North Side,800.0,41.9012093,-87.624654
Condo/Co-op,401 E Ontario St #4102,60611,680000.0,3.0,2.0,Near North Side,1800.0,41.8932199,-87.6168477
Condo/Co-op,161 E Chicago Ave Unit 45C,60611,725000.0,2.0,2.5,Near North Side,1959.0,41.8964162,-87.6233837
Condo/Co-op,505 N Mcclurg Ct #3403,60611,1050000.0,3.0,2.5,Near North Side,1803.0,41.8914796,-87.6164532
Condo/Co-op,50 E Bellevue Pl #1506,60611,285000.0,1.0,1.5,Near North Side,980.0,41.9018803,-87.6267094
Condo/Co-op,440 N Mcclurg Ct #1108,60611,425000.0,2.0,2.0,Near North Side,1290.0,41.890233,-87.618166
Condo/Co-op,950 N Michigan Ave #4104,60611,744900.0,2.0,3.5,Near North Side,1830.0,41.900457,-87.624671
Condo/Co-op,211 E Ohio St #1417,60611,240000.0,1.0,1.0,Near North Side,700.0,41.8922568,-87.6215818
Condo/Co-op,100 E Huron St #2305,60611,1149500.0,3.0,3.5,Near North Side,2880.0,41.8953532,-87.6249449
Condo/Co-op,222 E Pearson St #2109,60611,300000.0,2.0,1.0,Near North Side,1002.0,41.8979023,-87.620689
Condo/Co-op,111 E Chestnut St Unit 55J,60611,299000.0,1.0,1.0,Near North Side,1000.0,41.8978884,-87.6251938
Condo/Co-op,240 E Illinois St #2205,60611,669000.0,2.0,2.0,Near North Side,1310.0,41.891402,-87.6213118
Condo/Co-op,405 N Wabash Ave #3302,60611,319000.0,1.0,1.0,Near North Side,888.0,41.889792,-87.6260503
Condo/Co-op,160 E Illinois St #1708,60611,649900.0,2.0,2.5,Near North Side,1716.0,41.8912274,-87.6230761
Condo/Co-op,160 E Illinois St #2405,60611,1095000.0,3.0,4.5,Near North Side,2600.0,41.8912274,-87.6230761
Condo/Co-op,100 E Walton St Unit 27B,60611,219995.0,1.0,1.0,Near North Side,750.0,41.9002501,-87.6250781
Condo/Co-op,180 E Pearson St #4903,60611,850000.0,2.0,2.0,Near North Side,1737.0,41.8978308,-87.6222385
Condo/Co-op,440 N Mcclurg Ct #1012,60611,230000.0,1.0,1.0,Near North Side,,41.890203,-87.6181696
Condo/Co-op,600 N Lake Shore Dr #3203,60611,435000.0,1.0,1.5,Near North Side,1037.0,41.8930694,-87.6151037
Condo/Co-op,175 E Delaware Pl Unit 5801-02,60611,845000.0,4.0,4.0,Near North Side,2556.0,41.8989444,-87.6227945
Condo/Co-op,175 E Delaware Pl #6906,60611,625000.0,2.0,2.0,Near North Side,1420.0,41.8989444,-87.6227945
Condo/Co-op,159 E Walton Pl Unit 12A,60611,2475000.0,3.0,3.5,Near North Side,,41.8997872,-87.6234987
Condo/Co-op,211 E Ohio St #2722,60611,259000.0,1.0,1.0,Near North Side,800.0,41.8922568,-87.6215818
Condo/Co-op,160 E Illinois St #1603,60611,349900.0,1.0,1.0,Near North Side,772.0,41.8912274,-87.6230761
Condo/Co-op,40 E Delaware Pl #1405,60611,224000.0,1.0,1.0,Near North Side,700.0,41.8993625,-87.6271607
Condo/Co-op,990 N Lake Shore Dr Unit 29De,60611,1499000.0,3.0,4.5,Near North Side,3500.0,41.9003001,-87.6201438
Condo/Co-op,175 E Delaware Pl #4706,60611,230000.0,0.0,1.0,Near North Side,659.0,41.8989444,-87.6227945
