SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1359 E 48TH St,Chicago,IL,60615,1049500,4.0,3.0,Kenwood,3815.0,6503.0,,147,275.0,,Active,,,http://www.redfin.com/IL/Chicago/1359-E-48th-St-60615/home/13951782,MRED,10895851,N,Y,41.807569,-87.59287
MLS Listing,,Condo/Co-op,5124 S Indiana Ave Unit 3S,Chicago,IL,60615,170000,3.0,1.5,Washington Park,1200.0,,,156,142.0,167.0,Active,,,http://www.redfin.com/IL/Chicago/5124-S-Indiana-Ave-60615/unit-3S/home/86111368,MRED,10886336,N,Y,41.8011655,-87.6213216
MLS Listing,,Condo/Co-op,5048 S Woodlawn Ave Unit 1A,Chicago,IL,60615,545000,4.0,3.0,Kenwood,3600.0,19210.0,1908.0,159,151.0,872.0,Active,,,http://www.redfin.com/IL/Chicago/5048-S-Woodlawn-Ave-60615/unit-1A/home/13951382,MRED,10883690,N,Y,41.8029153,-87.5968982
MLS Listing,,Condo/Co-op,4801 S Forrestville Ave #3,Chicago,IL,60615,299000,4.0,2.0,Grand Boulevard,2500.0,,1896.0,161,120.0,175.0,Active,,,http://www.redfin.com/IL/Chicago/4801-S-Forrestville-Ave-60615/unit-3/home/12732421,MRED,10880730,N,Y,41.8074947,-87.6122679
MLS Listing,,Single Family Residential,4900 S Cornell Ave,Chicago,IL,60615,825000,3.0,3.5,Kenwood,3450.0,4769.0,2001.0,167,239.0,167.0,Active,,,http://www.redfin.com/IL/Chicago/4900-S-Cornell-Ave-60615/home/12732650,MRED,10863272,N,Y,41.8057242,-87.5867901
MLS Listing,,Vacant Land,353 E 51st St,Chicago,IL,60615,85000,,,Washington Park,,3960.0,,167,,,Active,,,http://www.redfin.com/IL/Chicago/353-E-51st-St-60615/home/173215226,MRED,10862783,N,Y,41.801875,-87.617242
MLS Listing,,Condo/Co-op,5000 S Cornell Ave Unit 15D,Chicago,IL,60615,157000,2.0,2.0,Kenwood,1400.0,,1920.0,179,112.0,929.0,Active,,,http://www.redfin.com/IL/Chicago/5000-S-Cornell-Ave-60615/unit-15D/home/173080176,MRED,10848839,N,Y,41.804342,-87.586759
MLS Listing,,Condo/Co-op,4950 S Chicago Beach Dr Unit 3A,Chicago,IL,60615,399000,4.0,3.5,Kenwood,4000.0,,1929.0,188,100.0,5262.0,Active,,,http://www.redfin.com/IL/Chicago/4950-S-Chicago-Beach-Dr-60615/unit-3A/home/113726757,MRED,10838096,N,Y,41.8045309,-87.5844938
MLS Listing,,Single Family Residential,4845 S Ellis Ave,Chicago,IL,60615,2800000,6.0,5.5,Kenwood,9610.0,25743.0,1902.0,197,291.0,,Active,,,http://www.redfin.com/IL/Chicago/4845-S-Ellis-Ave-60615/home/13950388,MRED,10823073,N,Y,41.8063969,-87.601114
MLS Listing,,Single Family Residential,5434 S Ingleside Ave,Chicago,IL,60615,565000,4.0,2.5,Hyde Park,2044.0,2130.0,1895.0,210,276.0,,Active,,,http://www.redfin.com/IL/Chicago/5434-S-Ingleside-Ave-60615/home/13949906,MRED,10809546,N,Y,41.7968772,-87.6031241
MLS Listing,,Condo/Co-op,5038 S DREXEL Blvd Unit 3S,Chicago,IL,60615,374900,4.0,3.0,Kenwood,2300.0,,1907.0,226,163.0,722.0,Active,,,http://www.redfin.com/IL/Chicago/5038-S-Drexel-Blvd-60615/unit-3S/home/12576143,MRED,10790005,N,Y,41.802959,-87.604701
